Year,Gini_Coefficient
1980,0.9162900077019741
1981,0.915282843227006
1982,0.9136901392636645
1983,0.9128197020468893
1984,0.9135846776801922
1985,0.9126509903170278
1986,0.9115424858911021
1987,0.9111644002851779
1988,0.9109887912276888
1989,0.9098662953087725
1990,0.9088767880678033
1991,0.9118614140595933
1992,0.8894956241863198
1993,0.8877537795049673
1994,0.8871900916599328
1995,0.8866261105853827
1996,0.8858313986853396
1997,0.883671268177297
1998,0.8828140305179137
1999,0.883474950133738
2000,0.882043783050331
2001,0.8804422344231319
2002,0.8801177923859513
2003,0.8807603536847141
2004,0.8820668512190973
2005,0.8817111020589025
2006,0.8823665420968808
2007,0.8828973183689663
2008,0.8817867018924537
2009,0.8826033217588635
2010,0.8843208247608445
2011,0.8859028202602016
2012,0.8857952921721619
2013,0.8867710553613656
2014,0.8868657642532217
2015,0.8857581775836186
2016,0.8846966528205306
2017,0.8846386863149749
2018,0.8852883775179894
2019,0.8858875339286201
